Msg,Label
"CONGRATULATIONS! FREE 2GB data is yours! 
Claim on Airtel Thanks App Now. Hurry i.airtel.in/e/csl_ml_2GB",spam
"Hi! Thank you for being with Vi-India's FASTEST 4G, Ookla-verified. We'd love to improve ourselves! Click http://bit.ly/3uU8D31 to share your feedback.",spam
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",spam
 I will try to manage took tablets,ham
Study from Home with Vi!! Watch Kite Victers Channel FREE on your Mobile with Vi . Download Vi Movies and TV app now . Click bit.ly/Vi-kite2,spam
 Get it fixed asap,ham
 ?image omitted,ham
 Not sure if I can join by tomorrow morning,ham
"Hi, [1] new Home Loan offer for you | Rates start as low as 6.75% | EMIs from Rs. 649/lakh. Apply now. TnC apply bnkbzr.co/o68urxqDiB",spam
"The summer heat is here ! Get your AC, Air Cooler or Fridge now and pay later at no cost using Federal Bank Debit Card EMI ! Click https://fdrl.in/t/dPmgHO for the latest offers -Federal Bank
",spam
Don't let security concerns ruin your travel plans! Get Airtel Xsafe- Wi-Fi enabled surveillance solution that sends real time alerts. Order now and get FREE installation i.airtel.in/PreEye,spam
"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days.Your 1 yr ZEE5 Premium subscription credited! To activate, click bit.ly/ViZee5Offer",spam
 Hi,ham
"You're just 1 step away from FREE router! 

Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! 

Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer",spam
 Start discussing on topics,ham
" Happy 2021 to one and all. May all the obstructions and constraints be removed, may you have clarity and peace of mind and a healthy body in the new year",ham
 I am working infront of ac now,ham
 Fortunately buying PAYTM this week has turned out to be profitable,ham
This diwali let's do big savings. Get 75% off on salary withdrawals upto ?3000. Offer valid 25th Oct-13th Nov. Sign up now weurl.co/wiroNb Team Refyne,spam
 Msg sent by mistake,ham
" Learning makes people grow continuously, and only with enough knowledge can you gain a firm foothold in this market. No matter which field you are in, you need to keep learning. Knowledge is the capital for you to accumulate wealth.",ham
 Yes the trend is consistently upward After all we're making a profit,ham
 Is the assistantâs sharing tonight or tomorrow night,ham
 I bought 200 shares,ham
 Good evening everyoneðð¼,ham
THE BIG BULL starring Abhishek Bachchan dekhiye Disney+ Hotstar VIP par. Vi ke naye 401 recharge pe paiye 1yr Disney+ Hotstar VIP & 100GB data (3GB/day +16GB) + Unlimited Calls; 28days. Click bit.ly/ViHotstar1,spam
"Biggest Diwali Offers@
VISHAL

Mixer Grinder 3Jar(Mrp 2499)
45%OFF- Rs 1374
ONLY TODAY
+
FREE-VIP Trolley,Duffle Bag
+
7.5% SBI Cashback
TnC",spam
"Don't miss out on FREE rewards on Airtel Thanks App. To claim your rewards, visit i.airtel.in/Thanks_rewards",spam
" The index adjustment usually follows a gradual inclusion process, and the inflow of funds is also carried out in stages",ham
 Hi Team,ham
 Hi team,ham
" Haha, anyway, the professor will compensate, so I'm not afraid. If we can make a profit, that's the best outcome. At least we won't make the professor spend moneyâwe'll earn from the market",ham
 I love it when Mr Arvind Singh Shares his skills and learns more about making money,ham
 Please open a ticket with it support ; what else we can do ?,ham
 location,ham
"Dear Customer, Exclusive Offer! Get 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Apply now for a Rs.1000* Gift Card>

http://fkrt.it/Y4frc9NNNN",spam
"Come back to Lenskart & Avail SPECIAL Holi Offers +50% Cashback
- Buy1Get1 with Gold Membership
- 2Adult+2Kids at Rs.4000
- Lens upgrade starting Rs.1250
TnC",spam
"Friday of the year you're eagerly waiting for is finally here!
PANTALOONS BLACK FRIDAY SALE is back from 24-27 NOV!

Get your whishlist shopped with FLAT 25% OFF on our exclusive merchandise.
Visit ur nearby Pantaloons store
or 
Shop online tltx.in/oykJG
TC. offer on select range",spam
Dunzo Daily is now live in your neighbourhood! Get all groceries delivered fresh & fast in 35 mins & enjoy the Just Launched Sale! Click: http://bit.ly/DunzoApp,spam
 Join from,ham
 Disconnecting again and again,ham
 Just waiting for the assistant's notification,ham
 Happy New year all,ham
Set your favorite song or your Name as Callertune. Click bit.ly/APP-CT,spam
"Exclusive offer for Airtel prepaid customers like you! Gift an Airtel Prepaid SIM to your friends and family, and enjoy SIM delivery at no extra cost. To order, click i.airtel.in/nhb5",spam
"Apply for Pre-qualified credit card limit up to INR 150,000 & get Noise ColorFit Pulse 2 Max Smart Watch worth Rs. 5,999. Click http://1kx.in/AMebzI SmartCardon",spam
 ?image omitted,ham
"LAST TWO DAYS
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry!
Click bit.ly/3mGelS6 for TnC",spam
 Foreign investors tend to cash out at market highs,ham
 Team inspite of multiple reminders this attendance is pathetic,ham
"ENDS TODAY Shoppers Stop Showstoppers 2021 -The Biggest Beauty Extravaganza of the year!
Use code CS10K & get FLAT 10% OFF on Rs.2500 or more
+Special Beauty Kits, Offers, Free gifts & much more. Everything Beauty, only at one destination.
Visit our nearest store or shop online at bit.ly/SS21bty
T&C*",spam
"Only Last 3 hours to get the Best Deals at The 4-3-2-1 DASH at shoppersstop.com
Click bit.ly/SS_DASH Use code ATV31M before it expires tonight. TnC",spam
 All the stock recommendations are small strategies before the competition starts.,ham
 +918979018080.vcf (file attached),ham
 Outlook for August 13,ham
"LAST DAY
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry!
Click bit.ly/3mGelS6 for TnC",spam
 Ram please ask them create a ticket for this issue,ham
 For manager name in problem management incident,ham
 https,ham
"LATEST DUSSEHRA FASHION@VISHAL

BUY1GET1
Men Jean,Tshirt
Ladies Kurta,Tshirt
Kids Jean,Frock
+
FREE-VIP Trolley,DuffleBag
+
7.5% SBICashback",spam
 I am restarting my laptop,ham
 And now I have a more important mission to do,ham
